country_name,date,parameter,product,value,unit
Czech Republic,12/1/2023,Net Electricity Production,Oil and Petroleum Products,6.6177,GWh
Czech Republic,12/1/2023,Net Electricity Production,Natural Gas,316.7392,GWh
Czech Republic,12/1/2023,Net Electricity Production,Combustible Renewables,426.0194,GWh
Czech Republic,12/1/2023,Net Electricity Production,Other Combustible Non-Renewables,8.0226,GWh
Czech Republic,12/1/2023,Net Electricity Production,Hydro,365.5029,GWh
Czech Republic,12/1/2023,Net Electricity Production,Wind,91.9955,GWh
Czech Republic,12/1/2023,Net Electricity Production,Solar,38.1981,GWh
Czech Republic,12/1/2023,Net Electricity Production,Not Specified,8.6721,GWh
Czech Republic,12/1/2023,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",921.7159,GWh
Czech Republic,12/1/2023,Total Imports,Electricity,1545.7964,GWh
Czech Republic,12/1/2023,Total Exports,Electricity,2464.9571,GWh
Czech Republic,12/1/2023,Used for pumped storage,Electricity,134.002,GWh
Czech Republic,12/1/2023,Distribution Losses,Electricity,302.1434,GWh
Czech Republic,12/1/2023,Final Consumption (Calculated),Electricity,5211.1326,GWh
Denmark,12/1/2023,Net Electricity Production,Electricity,3659.0273,GWh
Denmark,12/1/2023,Net Electricity Production,Total Combustible Fuels,1321.7249,GWh
Denmark,12/1/2023,Net Electricity Production,"Coal, Peat and Manufactured Gases",181.6344,GWh
Denmark,12/1/2023,Net Electricity Production,Oil and Petroleum Products,20.4482,GWh
Denmark,12/1/2023,Net Electricity Production,Natural Gas,117.8666,GWh
Denmark,12/1/2023,Net Electricity Production,Combustible Renewables,948.5499,GWh
Denmark,12/1/2023,Net Electricity Production,Other Combustible Non-Renewables,53.2258,GWh
Denmark,12/1/2023,Net Electricity Production,Hydro,2.4949,GWh
Denmark,12/1/2023,Net Electricity Production,Wind,2312.8606,GWh
Denmark,12/1/2023,Net Electricity Production,Solar,21.9469,GWh
Denmark,12/1/2023,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",3285.8523,GWh
Denmark,12/1/2023,Total Imports,Electricity,1665.5057,GWh
Denmark,12/1/2023,Total Exports,Electricity,1553.9417,GWh
Denmark,12/1/2023,Distribution Losses,Electricity,425.509,GWh
Denmark,12/1/2023,Final Consumption (Calculated),Electricity,3345.0824,GWh
Estonia,12/1/2023,Net Electricity Production,Electricity,485.091,GWh
Estonia,12/1/2023,Net Electricity Production,Total Combustible Fuels,425.8348,GWh
Estonia,12/1/2023,Net Electricity Production,"Coal, Peat and Manufactured Gases",290.3692,GWh
Estonia,12/1/2023,Net Electricity Production,Oil and Petroleum Products,2.5502,GWh
Estonia,12/1/2023,Net Electricity Production,Natural Gas,2.8891,GWh
Estonia,12/1/2023,Net Electricity Production,Combustible Renewables,123.5881,GWh
Estonia,12/1/2023,Net Electricity Production,Other Combustible Non-Renewables,6.4383,GWh
Estonia,12/1/2023,Net Electricity Production,Hydro,3.3014,GWh
Estonia,12/1/2023,Net Electricity Production,Wind,53.605,GWh
Estonia,12/1/2023,Net Electricity Production,Solar,2.3497,GWh
Estonia,12/1/2023,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",182.8443,GWh
Estonia,12/1/2023,Total Imports,Electricity,626.9519,GWh
Estonia,12/1/2023,Total Exports,Electricity,279.024,GWh
Estonia,12/1/2023,Distribution Losses,Electricity,40.5296,GWh
Estonia,12/1/2023,Final Consumption (Calculated),Electricity,792.4893,GWh
Finland,12/1/2023,Net Electricity Production,Electricity,7806.7954,GWh
Finland,12/1/2023,Net Electricity Production,Nuclear,3203.3729,GWh
Finland,12/1/2023,Net Electricity Production,Total Combustible Fuels,1965.0996,GWh
Finland,12/1/2023,Net Electricity Production,"Coal, Peat and Manufactured Gases",387.9706,GWh
Finland,12/1/2023,Net Electricity Production,Oil and Petroleum Products,15.9104,GWh
Finland,12/1/2023,Net Electricity Production,Natural Gas,131.7346,GWh
Finland,12/1/2023,Net Electricity Production,Combustible Renewables,1385.0034,GWh
Finland,12/1/2023,Net Electricity Production,Other Combustible Non-Renewables,44.4808,GWh
Finland,12/1/2023,Net Electricity Production,Hydro,1332.6698,GWh
Finland,12/1/2023,Net Electricity Production,Wind,1286.5007,GWh
Finland,12/1/2023,Net Electricity Production,Solar,1.569,GWh
Finland,12/1/2023,Net Electricity Production,Not Specified,17.5833,GWh
Finland,12/1/2023,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",4005.7429,GWh
Finland,12/1/2023,Total Imports,Electricity,1232.7967,GWh
Finland,12/1/2023,Total Exports,Electricity,500.5552,GWh
Finland,12/1/2023,Distribution Losses,Electricity,346.7134,GWh
Finland,12/1/2023,Final Consumption (Calculated),Electricity,8192.3235,GWh
France,12/1/2023,Net Electricity Production,Electricity,51535.019,GWh
France,12/1/2023,Net Electricity Production,Nuclear,31539,GWh
France,12/1/2023,Net Electricity Production,Total Combustible Fuels,4942.8887,GWh
France,12/1/2023,Net Electricity Production,"Coal, Peat and Manufactured Gases",193.547,GWh
France,12/1/2023,Net Electricity Production,Oil and Petroleum Products,500.2937,GWh
France,12/1/2023,Net Electricity Production,Natural Gas,3141.0835,GWh
France,12/1/2023,Net Electricity Production,Combustible Renewables,932.5581,GWh
France,12/1/2023,Net Electricity Production,Other Combustible Non-Renewables,175.4064,GWh
France,12/1/2023,Net Electricity Production,Hydro,7488.8538,GWh
France,12/1/2023,Net Electricity Production,Wind,6679.6528,GWh
France,12/1/2023,Net Electricity Production,Solar,793.1696,GWh
France,12/1/2023,Net Electricity Production,Geothermal,7.9717,GWh
France,12/1/2023,Net Electricity Production,Other Renewables,39.8221,GWh
France,12/1/2023,Net Electricity Production,Not Specified,43.6602,GWh
France,12/1/2023,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",15942.0282,GWh
France,12/1/2023,Total Imports,Electricity,2046.0742,GWh
France,12/1/2023,Total Exports,Electricity,7614.0461,GWh
France,12/1/2023,Used for pumped storage,Electricity,740.9975,GWh
France,12/1/2023,Distribution Losses,Electricity,4121.1626,GWh
France,12/1/2023,Final Consumption (Calculated),Electricity,41104.8869,GWh
Germany,12/1/2023,Net Electricity Production,Electricity,46049.3675,GWh
Germany,12/1/2023,Net Electricity Production,Total Combustible Fuels,23451.7515,GWh
Germany,12/1/2023,Net Electricity Production,"Coal, Peat and Manufactured Gases",11372.1126,GWh
Germany,12/1/2023,Net Electricity Production,Oil and Petroleum Products,334.8692,GWh
Germany,12/1/2023,Net Electricity Production,Natural Gas,7360.9151,GWh
Germany,12/1/2023,Net Electricity Production,Combustible Renewables,3947.0124,GWh
Germany,12/1/2023,Net Electricity Production,Other Combustible Non-Renewables,436.8421,GWh
Germany,12/1/2023,Net Electricity Production,Hydro,2688.4471,GWh
Germany,12/1/2023,Net Electricity Production,Wind,18916.8273,GWh
Germany,12/1/2023,Net Electricity Production,Solar,841.4584,GWh
Germany,12/1/2023,Net Electricity Production,Geothermal,19.2404,GWh
Germany,12/1/2023,Net Electricity Production,Not Specified,131.6427,GWh
Germany,12/1/2023,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",26412.9856,GWh
Germany,12/1/2023,Total Imports,Electricity,4582.777,GWh
Germany,12/1/2023,Total Exports,Electricity,7395.3395,GWh
Germany,12/1/2023,Used for pumped storage,Electricity,712.3816,GWh
Germany,12/1/2023,Distribution Losses,Electricity,2751.6331,GWh
Germany,12/1/2023,Final Consumption (Calculated),Electricity,39772.7902,GWh
Greece,12/1/2023,Net Electricity Production,Electricity,3973.3812,GWh
Greece,12/1/2023,Net Electricity Production,Total Combustible Fuels,1885.0905,GWh
Greece,12/1/2023,Net Electricity Production,"Coal, Peat and Manufactured Gases",462.068,GWh
Greece,12/1/2023,Net Electricity Production,Oil and Petroleum Products,146.0306,GWh
Greece,12/1/2023,Net Electricity Production,Natural Gas,1221.0278,GWh
Greece,12/1/2023,Net Electricity Production,Combustible Renewables,52.637,GWh
Greece,12/1/2023,Net Electricity Production,Other Combustible Non-Renewables,3.3271,GWh
Greece,12/1/2023,Net Electricity Production,Hydro,560.0478,GWh
Greece,12/1/2023,Net Electricity Production,Wind,1044.6996,GWh
Greece,12/1/2023,Net Electricity Production,Solar,483.5433,GWh
Greece,12/1/2023,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",2140.9276,GWh
Greece,12/1/2023,Total Imports,Electricity,705.6747,GWh
Greece,12/1/2023,Total Exports,Electricity,379.6707,GWh
Greece,12/1/2023,Used for pumped storage,Electricity,41.2434,GWh
Greece,12/1/2023,Distribution Losses,Electricity,363.6477,GWh
Greece,12/1/2023,Final Consumption (Calculated),Electricity,3894.4941,GWh
Hungary,12/1/2023,Net Electricity Production,Electricity,2435.9777,GWh
Hungary,12/1/2023,Net Electricity Production,Nuclear,1126.5209,GWh
